Category,Average Parts,Max Parts,Min Parts,Number of Objects,Number of Objects within 16 parts,Number of Objects within 8 parts,Part Names
Cart,3.8,9.0,2.0,61,61.0,60.0,"['cart_body', 'caster', 'steering_wheel', 'wheel']"
Bottle,2.0,2.0,2.0,57,57.0,57.0,"['bottle_body', 'rotation_lid', 'translation_lid']"
Box,3.36,7.0,2.0,28,28.0,28.0,"['box_body', 'drawer', 'handle', 'lock', 'rotation_lid']"
Dishwasher,2.33,6.0,2.0,48,48.0,48.0,"['button', 'dishwasher_body', 'knob', 'rotation_door', 'shelf']"
Clock,3.42,5.0,2.0,31,31.0,31.0,"['alarm_ring', 'clock_body', 'hand']"
Camera,9.22,27.0,3.0,37,30.0,22.0,"['button', 'camera_body', 'knob', 'lens', 'lid', 'slider', 'toggle_button']"
CoffeeMachine,6.76,16.0,2.0,54,54.0,39.0,"['button', 'coffee_machine_body', 'container', 'knob', 'lever', 'lid', 'portafilter', 'rotation_container', 'rotation_lid', 'rotation_slider', 'rotor', 'slider', 'toggle_button', 'wheel']"
Bucket,2.06,3.0,2.0,36,36.0,36.0,"['bucket_body', 'handle']"
Chair,15.47,20.0,3.0,81,33.0,3.0,"['caster', 'chair_leg', 'knob', 'lever', 'rotation_body', 'seat', 'wheel']"
Fan,2.12,4.0,2.0,81,81.0,81.0,"['button', 'fan_frame', 'rotor', 'slider']"
Display,2.51,8.0,2.0,37,37.0,37.0,"['button', 'display_base', 'rotation_screen', 'translation_screen']"
Kettle,2.28,3.0,2.0,29,29.0,29.0,"['button', 'handle', 'kettle_body', 'lever', 'lid', 'rotation_lid']"
Keyboard,97.11,116.0,25.0,37,0.0,0.0,"['key', 'keyboard_base', 'tilt_leg']"
KitchenPot,2.12,4.0,2.0,25,25.0,25.0,"['button', 'lid', 'pot_body', 'slider']"
Dispenser,2.84,4.0,2.0,57,57.0,57.0,"['dispenser_body', 'handle', 'lid', 'nose', 'pressing_lid']"
Eyeglasses,3.0,3.0,3.0,65,65.0,65.0,"['glasses_body', 'leg']"
Globe,2.13,4.0,2.0,61,61.0,61.0,"['circle', 'globe_frame', 'sphere']"
Faucet,2.71,4.0,2.0,84,84.0,84.0,"['faucet_base', 'spout', 'stem', 'switch']"
FoldingChair,2.23,3.0,2.0,26,26.0,26.0,"['leg', 'seat']"
Door,2.86,5.0,2.0,36,36.0,36.0,"['door_frame', 'rotation_door', 'translation_door']"
Pen,2.02,3.0,2.0,48,48.0,48.0,"['button', 'cap', 'pen_body']"
Laptop,2.0,2.0,2.0,55,55.0,55.0,"['laptop_base', 'screen']"
Knife,3.39,11.0,2.0,44,44.0,40.0,"['knife_body', 'rotation_blade', 'translation_blade']"
Remote,30.41,60.0,3.0,49,12.0,7.0,"['button', 'knob', 'remote_base', 'rotation_button']"
Mouse,4.36,8.0,2.0,14,14.0,14.0,"['ball', 'button', 'mouse_body', 'wheel']"
Pliers,2.36,11.0,2.0,25,25.0,24.0,"['leg', 'rotation_blade']"
Lighter,3.07,4.0,2.0,28,28.0,28.0,"['button', 'connector', 'lighter_body', 'rotation_button', 'rotation_lid', 'wheel']"
Printer,12.97,34.0,2.0,29,19.0,11.0,"['button', 'drawer', 'knob', 'printer_body', 'slider', 'toggle_button']"
Oven,7.13,13.0,2.0,30,30.0,20.0,"['button', 'door', 'knob', 'oven_body', 'rotation_tray', 'translation_tray']"
Refrigerator,2.68,4.0,2.0,44,44.0,44.0,"['door', 'refrigerator_body']"
Scissors,2.0,2.0,2.0,47,47.0,47.0,['leg']
Lamp,3.67,7.0,2.0,45,45.0,45.0,"['button', 'fastener', 'fastener_connector', 'head', 'lamp_base', 'lever', 'rotation_bar', 'toggle_button', 'translation_bar']"
Safe,6.73,17.0,3.0,30,29.0,22.0,"['button', 'door', 'handle', 'knob', 'safe_body']"
Stapler,3.0,3.0,3.0,23,23.0,23.0,"['lid', 'stapler_base', 'stapler_body']"
Phone,16.17,58.0,2.0,18,9.0,6.0,"['button', 'phone_base', 'rotation_button', 'rotation_lid', 'slider', 'translation_lid']"
Microwave,5.31,21.0,2.0,16,14.0,14.0,"['button', 'door', 'knob', 'microwave_body', 'rotation_tray']"
USB,2.02,3.0,2.0,51,51.0,51.0,"['handle', 'lid', 'usb_body', 'usb_rotation']"
Toilet,3.32,5.0,2.0,69,69.0,69.0,"['button', 'knob', 'lever', 'lid', 'pump_lid', 'seat', 'toilet_body']"
Switch,2.79,9.0,2.0,70,70.0,69.0,"['button', 'knob', 'lever', 'slider', 'switch_frame', 'toggle_button']"
Table,4.16,13.0,2.0,101,101.0,90.0,"['board', 'caster', 'door', 'drawer', 'furniture_body', 'handle', 'wheel']"
Suitcase,4.21,10.0,2.0,24,24.0,21.0,"['button', 'caster', 'lid', 'lock', 'rotation_handle', 'suitcase_body', 'translation_handle', 'wheel']"
TrashCan,2.97,6.0,2.0,70,70.0,70.0,"['cover_lid', 'door', 'drawer', 'foot_pad', 'handle', 'lid', 'trashcan_body', 'wheel']"
WashingMachine,8.47,14.0,3.0,17,17.0,8.0,"['button', 'door', 'knob', 'washing_machine_body']"
Toaster,4.64,13.0,2.0,25,25.0,23.0,"['button', 'knob', 'slider', 'slot', 'toaster_body']"
StorageFurniture,3.41,20.0,2.0,346,345.0,341.0,"['board', 'caster', 'drawer', 'furniture_body', 'rotation_door', 'translation_door', 'wheel']"
Window,3.36,7.0,2.0,58,58.0,58.0,"['rotation_window', 'translation_window', 'window_frame']"
